Datos de series

Nacional. Pernoctaciones. Benidorm. Residentes en el extranjero.
Serie
Periodicidad,Mensual
Unidad,Pernoctaciones
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2007M01,101.653,Definitivo,
2006M12,97.313,Definitivo,
2006M11,90.440,Definitivo,
2006M10,100.061,Definitivo,
2006M09,70.347,Definitivo,
2006M08,75.933,Definitivo,
2006M07,57.633,Definitivo,
2006M06,61.614,Definitivo,
2006M05,70.561,Definitivo,
2006M04,87.861,Definitivo,
2006M03,98.776,Definitivo,
2006M02,98.679,Definitivo,
2006M01,101.844,Definitivo,
2005M12,101.388,Definitivo,
2005M11,100.985,Definitivo,
2005M10,110.636,Definitivo,
2005M09,70.056,Definitivo,
2005M08,77.194,Definitivo,
2005M07,55.958,Definitivo,
2005M06,60.360,Definitivo,
2005M05,68.683,Definitivo,
2005M04,72.507,Definitivo,
2005M03,102.335,Definitivo,
2005M02,99.195,Definitivo,
2005M01,111.227,Definitivo,

Dato: .. Dato no disponible
Dato: . Protegido por secreto estadístico
