datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-15,0,16815,1.0,-1,1142,1170,23219
2020-07-15,0,73349,1.0,-1,2967,2975,16398
2020-07-15,0,93377,0.0,-1,5000,2357,80511
2020-07-15,0,33833,3.0,-1,94,647,369675
2020-07-16,0,3452,1.0,-1,310,360,15361
2020-07-16,0,15367,0.0,-1,805,311,19628
2020-07-16,0,200,36.0,-1,234,6464,120500
2020-07-16,0,27687,0.0,-1,2742,1378,118861
2020-07-15,0,5314,0.0,-1,258,138,11613
2020-07-16,0,968,0.0,-1,116,24,818
2020-07-16,0,77381,6.0,-1,143,884,41710
2020-07-17,0,2262,5.0,-1,516,2850,132908
2020-07-17,5,29619,177.0,-1,954,164408,217923
2020-07-17,0,29619,177.0,-1,954,164408,217923
2020-07-17,3,940,3522.0,-1,661,2081369,391046
2020-07-17,0,5141,0.0,-1,279,211,10959
2020-07-17,1,48940,0.0,-1,1320,1511,64032
2020-07-17,0,11,0.0,-1,22,8,5376
2020-07-17,0,11,0.0,-1,22,8,5376
2020-07-17,0,10603,3.0,-1,201,893,230
2020-07-17,0,78251,0.0,-1,3964,3393,68849
2020-07-17,0,19371,2.0,-1,480,1143,48059
2020-07-17,0,12761,1.0,-1,9672,10074,41265
2020-07-17,0,5707,0.0,-1,55,22,1719
2020-07-17,1,26470,27.0,-1,1013,16429,14491
2020-07-17,0,708,1.0,-1,73,88,1026
2020-07-18,0,8749,1.0,-1,182,257,11037
2020-07-18,0,78016,0.0,-1,3903,2150,214457
2020-07-18,0,3841,0.0,-1,2376,672,4878
2020-07-18,0,6853,0.0,-1,676,675,5578
2020-07-18,6,940,3522.0,-1,661,2081369,391046
2020-07-18,0,60591,0.0,-1,2615,2410,25111
2020-07-18,1,72052,0.0,-1,3582,3286,153725
2020-07-18,0,2530,0.0,-1,284,156,10443
2020-07-18,0,129666,2.0,-1,77,193,119875
2020-07-18,0,35084,0.0,-1,1014,440,132657
2020-07-18,0,6852,0.0,-1,232,237,15997
2020-07-18,0,535,0.0,-1,65,49,758
2020-07-18,0,33338,1.0,-1,106,136,15051
2020-07-18,0,1685,0.0,-1,476,308,10752
2020-07-18,0,11446,0.0,-1,3619,1130,94472
2020-07-18,0,23,0.0,-1,325,136,44678
2020-07-18,0,12896,0.0,-1,1513,365,27246
2020-07-18,0,6208,0.0,-1,234,206,19372
2020-07-18,0,327802,1.0,-1,2187,3352,675659
2020-07-18,0,75655,0.0,-1,853,519,38703
2020-07-18,0,4419,1.0,-1,284,563,6490
2020-07-18,0,81016,0.0,-1,625,393,298312
2020-07-18,1,99163,1.0,-1,9271,9539,678935
2020-07-18,0,188,0.0,-1,1085,252,1118
2020-07-18,0,27344,0.0,-1,825,646,17689
2020-07-18,0,184998,0.0,-1,2772,1551,175676
2020-07-18,0,4415,0.0,-1,1451,1429,3465
2020-07-18,0,384514,1.0,-1,803,1478,196406
2020-07-18,1,16038,0.0,-1,9245,9335,34915
2020-07-18,0,93897,1.0,-1,573,840,49233
2020-07-18,0,92964,0.0,-1,1263,1156,7467
2020-07-18,0,87907,0.0,-1,1373,413,17188
2020-07-18,0,67661,2.0,-1,189,429,129496
2020-07-18,0,27351,1.0,-1,375,495,43436
2020-07-18,1,1506,1.0,-1,2397,2406,51
2020-07-19,0,1779,0.0,-1,95,91,13239
2020-07-19,1,25147,0.0,-1,1532,992,35652
2020-07-19,0,7388,0.0,-1,142,86,3769
2020-07-19,1,1464,1.0,-1,9215,10911,12354
2020-07-19,0,2573,1.0,-1,430,478,12340
2020-07-19,0,38572,0.0,-1,3016,2149,150803
2020-07-19,0,3,5.0,-1,27,160,64379
2020-07-19,0,51,1.0,-1,416,502,6048
2020-07-19,0,100907,1.0,-1,1981,4963,64559
2020-07-19,0,74702,1.0,-1,4091,5097,44718
2020-07-19,0,13680,0.0,-1,208,50,3848
